Artist,Album,Title,Genre,Comments,music_folder,image_folder,Id
Frank Sinatra,Platinum Selection,Come Fly With Me,"Vocal Jazz, Pop",Freak37,/songs/01 - Come Fly With Me.mp3,/image/cover-0.jpg,0
Ed Sheeran,÷,Eraser,None,Freak37,/songs/01 - Eraser.mp3,/image/cover-1.jpg,1
Dua Lipa,Dua Lipa,Genesis,Indie Pop / Pop,Hunter,/songs/01 - Genesis.mp3,/image/cover-2.jpg,2
Coldplay,Greatest Songs,Hymn For The Weekend,Rock / (131),https://musicriders.blogspot.com (or) Mega Zone Riders,/songs/01 - Hymn For The Weekend.mp3,/image/cover-3.jpg,3
One Direction,Take Me Home,Live While We're Young,Pop,None,/songs/01 - Live While We're Young.mp3,/image/cover-4.jpg,4
The Beatles,Abbey Road (Remastered),Come Together,(17)Rock,None,/songs/01 come together.mp3,/image/cover-375.png,5
Camila Cabello,Familia,Familia,Pop,None,/songs/01 Familia.mp3,/image/cover-6.jpg,6
Snow Patrol,Greatest Hits,The Lightning Strike (What If This Storm Ends?),Alternative,None,/songs/01 Snow Patrol - The Lightning Strike (What If This Storm Ends-).mp3,/image/cover-7.jpg,7
Harry Styles,Fine Line,Golden,Pop,www.t.me/pmedia_music,/songs/01. Golden.mp3,/image/cover-8.jpg,8
Imagine Dragons,Origins (Deluxe),Natural,Alternative,Freak37,/songs/01. Natural.mp3,/image/cover-9.jpg,9
Oasis,Oasis - Greatest Hits CD1,Rock 'N' Roll Star,None,None,/songs/01. Rock 'N' Roll Star.mp3,/image/cover-376.jpg,10
Camila Cabello,Romance,Shameless,Pop,Freak37,/songs/01. Shameless.mp3,/image/cover-11.jpg,11
Snoop Dogg,BODR,Still Smokin,None,PMEDIA,/songs/01. Still Smokin.mp3,/image/cover-12.jpg,12
Ed Sheeran,=,Tides,None,PMEDIA,/songs/01. Tides.mp3,/image/cover-13.jpg,13
John Mayer,Essentials,Waiting On the World to Change,Pop,www.t.me/pmedia_music,/songs/01. Waiting On the World to Change.mp3,/image/cover-14.jpg,14
Nirvana,Greatest Hits,You Know You're Right,Grunge,None,/songs/01.You Know You're Right.mp3,/image/cover-15.jpg,15
Ed Sheeran,÷,Castle on the Hill,None,Freak37,/songs/02 - Castle on the Hill.mp3,/image/cover-16.jpg,16
Frank Sinatra,Platinum Selection,"Hello, Young Lovers","Vocal Jazz, Pop",Freak37,"/songs/02 - Hello, Young Lovers.mp3",/image/cover-17.jpg,17
One Direction,Take Me Home,Kiss You,Pop,None,/songs/02 - Kiss You.mp3,/image/cover-18.jpg,18
