Artist,Album,Title,Genre,Comments,music_folder,image_folder
Frank Sinatra,Platinum Selection,Come Fly With Me,"Vocal Jazz, Pop",Freak37,/songs/01 - Come Fly With Me.mp3,/image/cover-0.jpg
Ed Sheeran,÷,Eraser,,Freak37,/songs/01 - Eraser.mp3,/image/cover-1.jpg
Dua Lipa,Dua Lipa,Genesis,Indie Pop / Pop,Hunter,/songs/01 - Genesis.mp3,/image/cover-2.jpg
Coldplay,Greatest Songs,Hymn For The Weekend,Rock / (131),https://musicriders.blogspot.com (or) Mega Zone Riders,/songs/01 - Hymn For The Weekend.mp3,/image/cover-3.jpg
One Direction,Take Me Home,Live While We're Young,Pop,,/songs/01 - Live While We're Young.mp3,/image/cover-4.jpg
The Beatles,Abbey Road (Remastered),Come Together,(17)Rock,,/songs/01 come together.mp3,
Camila Cabello,Familia,Familia,Pop,,/songs/01 Familia.mp3,/image/cover-6.jpg
Snow Patrol,Greatest Hits,The Lightning Strike (What If This Storm Ends?),Alternative,,/songs/01 Snow Patrol - The Lightning Strike (What If This Storm Ends-).mp3,/image/cover-7.jpg
Harry Styles,Fine Line,Golden,Pop,www.t.me/pmedia_music,/songs/01. Golden.mp3,/image/cover-8.jpg
Imagine Dragons,Origins (Deluxe),Natural,Alternative,Freak37,/songs/01. Natural.mp3,/image/cover-9.jpg
Oasis,Oasis - Greatest Hits CD1,Rock 'N' Roll Star,,,/songs/01. Rock 'N' Roll Star.mp3,
Camila Cabello,Romance,Shameless,Pop,Freak37,/songs/01. Shameless.mp3,/image/cover-11.jpg
Snoop Dogg,BODR,Still Smokin,,PMEDIA,/songs/01. Still Smokin.mp3,/image/cover-12.jpg
Ed Sheeran,=,Tides,,PMEDIA,/songs/01. Tides.mp3,/image/cover-13.jpg
John Mayer,Essentials,Waiting On the World to Change,Pop,www.t.me/pmedia_music,/songs/01. Waiting On the World to Change.mp3,/image/cover-14.jpg
Nirvana,Greatest Hits,You Know You're Right,Grunge,,/songs/01.You Know You're Right.mp3,/image/cover-15.jpg
Ed Sheeran,÷,Castle on the Hill,,Freak37,/songs/02 - Castle on the Hill.mp3,/image/cover-16.jpg
Frank Sinatra,Platinum Selection,"Hello, Young Lovers","Vocal Jazz, Pop",Freak37,"/songs/02 - Hello, Young Lovers.mp3",/image/cover-17.jpg
One Direction,Take Me Home,Kiss You,Pop,,/songs/02 - Kiss You.mp3,/image/cover-18.jpg
Dua Lipa,Dua Lipa,Lost In Your Light (feat. Miguel),Indie Pop / Pop,Hunter,/songs/02 - Lost In Your Light (feat. Miguel).mp3,/image/cover-19.jpg
Coldplay,Greatest Songs,Viva La Vida,Rock / (131),https://musicriders.blogspot.com (or) Mega Zone Riders,/songs/02 - Viva La Vida.mp3,/image/cover-20.jpg
Camila Cabello,Familia,Celia,Pop,,/songs/02 Celia.mp3,/image/cover-21.jpg
The Beatles,Rubber Soul (Remastered),Drive My Car,(17)Rock,,/songs/02 drive my car.mp3,
Snow Patrol,Greatest Hits,Chasing Cars,Alternative,,/songs/02 Snow Patrol - Chasing Cars.mp3,/image/cover-23.jpg
Imagine Dragons,Origins (Deluxe),Boomerang,Alternative,Freak37,/songs/02. Boomerang.mp3,/image/cover-24.jpg
Snoop Dogg,BODR,Gun Smoke,,PMEDIA,/songs/02. Gun Smoke.mp3,/image/cover-25.jpg
Camila Cabello,Romance,Living Proof,Pop,Freak37,/songs/02. Living Proof.mp3,/image/cover-26.jpg
Oasis,Oasis - Greatest Hits CD1,Shakermaker,,,/songs/02. Shakermaker.mp3,
Ed Sheeran,=,Shivers,,PMEDIA,/songs/02. Shivers.mp3,/image/cover-28.jpg
Harry Styles,Fine Line,Watermelon Sugar,Pop,www.t.me/pmedia_music,/songs/02. Watermelon Sugar.mp3,/image/cover-29.jpg
John Mayer,Essentials,Your Body Is a Wonderland,Pop,www.t.me/pmedia_music,/songs/02. Your Body Is a Wonderland.mp3,/image/cover-30.jpg
Nirvana,Greatest Hits,About A Girl,Grunge,,/songs/02.About A Girl.mp3,/image/cover-31.jpg
Coldplay,Greatest Songs,A Sky Full of Stars,Rock / (131),https://musicriders.blogspot.com (or) Mega Zone Riders,/songs/03 - A Sky Full of Stars.mp3,/image/cover-32.jpg
Ed Sheeran,÷,Dive,,Freak37,/songs/03 - Dive.mp3,/image/cover-33.jpg
Dua Lipa,Dua Lipa,Hotter Than Hell,Indie Pop / Pop,Hunter,/songs/03 - Hotter Than Hell.mp3,/image/cover-34.jpg
One Direction,Take Me Home,Little Things,Pop,,/songs/03 - Little Things.mp3,/image/cover-35.jpg
Frank Sinatra,Platinum Selection,London By Night,"Vocal Jazz, Pop",Freak37,/songs/03 - London By Night.mp3,/image/cover-36.jpg
The Beatles,Help! (Remastered),Help!,(17)Rock,,/songs/03 help!.mp3,
Camila Cabello,Familia,psychofreak (feat. WILLOW),Pop,,/songs/03 psychofreak (feat. WILLOW).mp3,/image/cover-38.jpg
Snow Patrol,Greatest Hits,Run,Alternative,,/songs/03 Snow Patrol - Run.mp3,/image/cover-39.jpg
Harry Styles,Fine Line,Adore You,Pop,www.t.me/pmedia_music,/songs/03. Adore You.mp3,/image/cover-40.jpg
Snoop Dogg,BODR,Coming Back (feat. October London & Nefertitti Avani),,PMEDIA,/songs/03. Coming Back (feat. October London & Nefertitti Avani).mp3,/image/cover-41.jpg
John Mayer,Essentials,Daughters,Rock,www.t.me/pmedia_music,/songs/03. Daughters.mp3,/image/cover-42.jpg
Ed Sheeran,=,First Times,,PMEDIA,/songs/03. First Times.mp3,/image/cover-43.jpg
Imagine Dragons,Origins (Deluxe),Machine,Alternative,Freak37,/songs/03. Machine.mp3,/image/cover-44.jpg
,Oasis - Greatest Hits CD2,Oasis  Rockin' Chair,,,/songs/03. Oasis  Rockin' Chair.mp3,
Camila Cabello,Romance,Should've Said it,Pop,Freak37,/songs/03. Should've Said it.mp3,/image/cover-46.jpg
Nirvana,Greatest Hits,Been A Son,Grunge,,/songs/03.Been A Son.mp3,/image/cover-47.jpg
Dua Lipa,Dua Lipa,Be The One,Indie Pop / Pop,Hunter,/songs/04 - Be The One.mp3,/image/cover-48.jpg
One Direction,Take Me Home,"C'mon, C'mon",Pop,,"/songs/04 - C'mon, C'mon.mp3",/image/cover-49.jpg
Frank Sinatra,Platinum Selection,I’m A Fool To Want You,"Vocal Jazz, Pop",Freak37,/songs/04 - I'm A Fool To Want You.mp3,/image/cover-50.jpg
Ed Sheeran,÷,Shape of You,,Freak37,/songs/04 - Shape of You.mp3,/image/cover-51.jpg
Coldplay,Greatest Songs,Violet Hill,Rock / (131),https://musicriders.blogspot.com (or) Mega Zone Riders,/songs/04 - Violet Hill.mp3,/image/cover-52.jpg
Camila Cabello,Familia,Bam Bam (feat. Ed Sheeran),Pop,,/songs/04 Bam Bam (feat. Ed Sheeran).mp3,/image/cover-53.jpg
The Beatles,Please Please Me (Remastered),I Saw Her Standing There,(17)Rock,,/songs/04 i saw her standing there.mp3,
Snow Patrol,Greatest Hits,Set the Fire To the Third Bar (feat. Martha Wainwright),Alternative,,/songs/04 Snow Patrol - Set the Fire To the Third Bar (feat. Martha Wainwright).mp3,/image/cover-55.jpg
Ed Sheeran,=,Bad Habits,,PMEDIA,/songs/04. Bad Habits.mp3,/image/cover-56.jpg
Imagine Dragons,Origins (Deluxe),Cool Out,Alternative,Freak37,/songs/04. Cool Out.mp3,/image/cover-57.jpg
Harry Styles,Fine Line,Lights Up,Pop,www.t.me/pmedia_music,/songs/04. Lights Up.mp3,/image/cover-58.jpg
John Mayer,Essentials,New Light,Pop,www.t.me/pmedia_music,/songs/04. New Light.mp3,/image/cover-59.jpg
,Oasis - Greatest Hits CD2,Oasis  Go Let It Out!,,,/songs/04. Oasis  Go Let It Out!.mp3,
Snoop Dogg,BODR,Sandwich Bag,,PMEDIA,/songs/04. Sandwich Bag.mp3,/image/cover-61.jpg
Camila Cabello,Romance,Senorita (Feat. Shawn Mendes),Pop,Freak37,/songs/04. Senorita (Feat. Shawn Mendes).mp3,/image/cover-62.jpg
Nirvana,Greatest Hits,Sliver,Grunge,,/songs/04.Sliver.mp3,/image/cover-63.jpg
Dua Lipa,Dua Lipa,IDGAF,Indie Pop / Pop,Hunter,/songs/05 - IDGAF.mp3,/image/cover-64.jpg
One Direction,Take Me Home,Last First Kiss,Pop,,/songs/05 - Last First Kiss.mp3,/image/cover-65.jpg
Frank Sinatra,Platinum Selection,Lean Baby,"Vocal Jazz, Pop",Freak37,/songs/05 - Lean Baby.mp3,/image/cover-66.jpg
Ed Sheeran,÷,Perfect,,Freak37,/songs/05 - Perfect.mp3,/image/cover-67.jpg
Coldplay,Greatest Songs,Princess of China,Rock / (131),https://musicriders.blogspot.com (or) Mega Zone Riders,/songs/05 - Princess of China.mp3,/image/cover-68.jpg
Camila Cabello,Familia,La Buena Vida,Pop,,/songs/05 La Buena Vida.mp3,/image/cover-69.jpg
The Beatles,Magical Mystery Tour (Remastered),Magical Mystery Tour,(17)Rock,,/songs/05 magical mystery tour.mp3,
Snow Patrol,Greatest Hits,Called Out In the Dark,Alternative,,/songs/05 Snow Patrol - Called Out In the Dark.mp3,/image/cover-71.jpg
Imagine Dragons,Origins (Deluxe),Bad Liar,Alternative,Freak37,/songs/05. Bad Liar.mp3,/image/cover-72.jpg
Harry Styles,Fine Line,Cherry,Pop,www.t.me/pmedia_music,/songs/05. Cherry.mp3,/image/cover-73.jpg
Oasis,Oasis - Greatest Hits CD1,Cigarettes & Alcohol,,,/songs/05. Cigarettes & Alcohol.mp3,
Snoop Dogg,BODR,Conflicted (feat. Nas),,PMEDIA,/songs/05. Conflicted (feat. Nas).mp3,/image/cover-75.jpg
Camila Cabello,Romance,Liar,Pop,Freak37,/songs/05. Liar.mp3,/image/cover-76.jpg
John Mayer,Essentials,No Such Thing,Pop,www.t.me/pmedia_music,/songs/05. No Such Thing.mp3,/image/cover-77.jpg
Ed Sheeran,=,Overpass Graffiti,,PMEDIA,/songs/05. Overpass Graffiti.mp3,/image/cover-78.jpg
Nirvana,Greatest Hits,Smells Like Teen Spirit,Grunge,,/songs/05.Smells Like Teen Spirit.mp3,/image/cover-79.jpg
Dua Lipa,Dua Lipa,Blow Your Mind (Mwah),Indie Pop / Pop,Hunter,/songs/06 - Blow Your Mind (Mwah).mp3,/image/cover-80.jpg
Coldplay,Greatest Songs,Charlie Brown,Rock / (131),https://musicriders.blogspot.com (or) Mega Zone Riders,/songs/06 - Charlie Brown.mp3,/image/cover-81.jpg
Frank Sinatra,Platinum Selection,From Here To Eternity,"Vocal Jazz, Pop",Freak37,/songs/06 - From Here To Eternity.mp3,/image/cover-82.jpg
Ed Sheeran,÷,Galway Girl,,Freak37,/songs/06 - Galway Girl.mp3,/image/cover-83.jpg
One Direction,Take Me Home,Heart Attack,Pop,,/songs/06 - Heart Attack.mp3,/image/cover-84.jpg
The Beatles,Beatles For Sale (Remastered),No Reply,(17)Rock,,/songs/06 no reply.mp3,
Camila Cabello,Familia,Quiet,Pop,,/songs/06 Quiet.mp3,/image/cover-86.jpg
Snow Patrol,Greatest Hits,Chocolate,Alternative,,/songs/06 Snow Patrol - Chocolate.mp3,/image/cover-87.jpg
Camila Cabello,Romance,Bad Kind Of Butterflies,Pop,Freak37,/songs/06. Bad Kind Of Butterflies.mp3,/image/cover-88.jpg
Snoop Dogg,BODR,Daddy (feat. Emo Trap),,PMEDIA,/songs/06. Daddy (feat. Emo Trap).mp3,/image/cover-89.jpg
Harry Styles,Fine Line,Falling,Pop,www.t.me/pmedia_music,/songs/06. Falling.mp3,/image/cover-90.jpg
John Mayer,Essentials,Heartbreak Warfare,Rock,www.t.me/pmedia_music,/songs/06. Heartbreak Warfare.mp3,/image/cover-91.jpg
,Oasis - Greatest Hits CD2,Oasis  Sunday Morning Call,,,/songs/06. Oasis  Sunday Morning Call.mp3,
Ed Sheeran,=,The Joker And The Queen,,PMEDIA,/songs/06. The Joker And The Queen.mp3,/image/cover-93.jpg
Imagine Dragons,Origins (Deluxe),West Coast,Alternative,Freak37,/songs/06. West Coast.mp3,/image/cover-94.jpg
Oasis,Oasis - Greatest Hits CD1,Whatever,,,/songs/06. Whatever.mp3,
Nirvana,Greatest Hits,Come As You Are,Grunge,,/songs/06.Come As You Are.mp3,/image/cover-96.jpg
Coldplay,Greatest Songs,Adventure Of A Lifetime,Rock / (131),https://musicriders.blogspot.com (or) Mega Zone Riders,/songs/07 - Adventure Of A Lifetime.mp3,/image/cover-97.jpg
Dua Lipa,Dua Lipa,Garden,Indie Pop / Pop,Hunter,/songs/07 - Garden.mp3,/image/cover-98.jpg
Ed Sheeran,÷,Happier,,Freak37,/songs/07 - Happier.mp3,/image/cover-99.jpg
Frank Sinatra,Platinum Selection,I’m Walking Behind You,"Vocal Jazz, Pop",Freak37,/songs/07 - I'm Walking Behind You.mp3,/image/cover-100.jpg
One Direction,Take Me Home,Rock Me,Pop,,/songs/07 - Rock Me.mp3,/image/cover-101.jpg
The Beatles,With The Beatles (Remastered),All My Loving,(17)Rock,,/songs/07 all my loving.mp3,
Camila Cabello,Familia,Boys Don't Cry,Pop,,/songs/07 Boys Don't Cry.mp3,/image/cover-103.jpg
Snow Patrol,Greatest Hits,Just Say Yes,Alternative,,/songs/07 Snow Patrol - Just Say Yes.mp3,/image/cover-104.jpg
Snoop Dogg,BODR,Doggystylin,,PMEDIA,/songs/07. Doggystylin.mp3,/image/cover-105.jpg
Camila Cabello,Romance,Easy,Pop,Freak37,/songs/07. Easy.mp3,/image/cover-106.jpg
John Mayer,Essentials,Gravity,Pop,www.t.me/pmedia_music,/songs/07. Gravity.mp3,/image/cover-107.jpg
Ed Sheeran,=,Leave Your Life,,PMEDIA,/songs/07. Leave Your Life.mp3,/image/cover-108.jpg
,Oasis - Greatest Hits CD2,Oasis  The Hindu Times,,,/songs/07. Oasis  The Hindu Times.mp3,
Oasis,Oasis - Greatest Hits CD1,Roll With It,,,/songs/07. Roll With It.mp3,
Harry Styles,Fine Line,To Be So Lonely,Pop,www.t.me/pmedia_music,/songs/07. To Be So Lonely.mp3,/image/cover-111.jpg
Imagine Dragons,Origins (Deluxe),Zero,Alternative,Freak37,/songs/07. Zero.mp3,/image/cover-112.jpg
