Artist,Album,Title,Genre,Comments,music_folder,image_folder,lyrics,
Frank Sinatra,Platinum Selection,Come Fly With Me,"Vocal Jazz, Pop",Freak37,/songs/01 - Come Fly With Me.mp3,/image/cover-0.jpg,"Come Fly with Me Lyrics
Come fly with me, let's fly, let's fly away
If you can use some exotic booze, there's a bar in far Bombay
Come fly with me, let's fly, let's fly away

Come fly with me, let's float down to Peru
In llama land, there's a one man band, and he'll toot his flute for you
Come fly with me, let's take off in the blue

Once I get you up there, where the air is rarefied
We'll just glide, starry-eyed
Once I get you up there, I'll be holding you so near
You may hear angels cheer 'cause we're together
Weather wise, it's such a lovely day
Just say the words and we'll beat the birds down to Acapulco Bay
It's perfect for a flying honeymoon, they say
Come fly with me, let's fly, let's fly away


Once I get you up there, where the air is rarefied
We'll just glide, starry-eyed
Once I get you up there, I'll be holding you so near
You may hear angels cheer 'cause we're together

Weather wise, it's such a lovely day
You just say the words and we'll beat the birds down to Acapulco Bay
It's perfect for a flying honeymoon, they say
Come fly with me, let's fly, let's fly

Pack up, let's fly away7Embed",
Ed Sheeran,÷,Eraser,,Freak37,/songs/01 - Eraser.mp3,/image/cover-1.jpg,"Eraser Lyrics
I was born inside a small town, I lost that state of mind
Learned to sing inside the Lord's house, but stopped the age of nine
I forget when I get awards now the wave I had to ride
The paving stones I played upon that kept me on the grind
So blame it on the pain that blessed me with the life
Friends and family filled with envy when they should be filled with pride
And when the world's against me is when I really come alive
And every day that Satan tempts me, I try to take it in my stride
You know that I've got whisky with white lies, and smoke in my lungs
I think life has got to the point, I know without it's no fun
I need to get in the right mind, and clear myself up
Instead, I look in the mirror questioning what I've become
Guess it's a stereotypical day for someone like me
Without a nine-to-five job or a uni degree
To be caught up in the trappings of the industry
Show me the locked doors, I'll find another use for the key
And you'll see
I'm well aware of certain things that can destroy a man like me
But with that said give me one more

Another one to take the sting away
I am happy on my own, so here I'll stay
Save your lovin' arms for a rainy day
And I'll find comfort in my pain eraser

I used to think that nothing could be better than touring the world with my songs
I chased the pictured perfect life, I think they painted it wrong
I think that money is the root of all evil, and fame is hell
Relationships, and hearts you fixed, they break as well
And ain't nobody wanna see you down in the dumps
Because you're living your dream, man, this shit should be fun
Please know that I'm not trying to preach like I'm Reverend Run
I beg you, don't be disappointed with the man I've become
Conversations with my father on the A14
Age 12 telling me I've gotta chase those dreams
Now I'm playing for the people, dad, and they know me
With my beaten small guitar, wearing the same old jeans
Wembley Stadium crowd's 240 thou'
I may have grown up, but I hope that Damian's proud
And to the next generation, inspiration's allowed
The world may be filled with hate, but keep erasing it now
Somehow
I'm well aware of certain things that will befall a man like me
But with that said give me one more

Another one to take the sting away
Oh, I am happy on my own, so here I'll stay
Save your lovin' arms for a rainy day
And I'll find comfort in my pain eraser
And I'll find comfort in my pain eraser
And I'll find comfort in my pain eraser

Welcome to the new show
I guess you know I've been away
But where I'm heading, who knows?
But my heart will stay the same
Welcome to the new show
I guess you know I've been away
But where I'm heading, who knows?
My pain eraser

And I'll find comfort in my pain eraser
And I'll find comfort in my pain eraser
And I'll find comfort in my pain eraser
And I'll find comfort in my pain eraser31Embed",
Dua Lipa,Dua Lipa,Genesis,Indie Pop / Pop,Hunter,/songs/01 - Genesis.mp3,/image/cover-2.jpg,"Genesis Lyrics
In the beginning, God created Heaven and Earth
For what it's worth, I think that He might've created you first
Just my opinion
Your body is the one paradise that I wanna fly to
Every day and every night

I've been sick and tired of running
Chasing all of the flashing lights
These late nights don't mean nothing
So I just wanna apologize
I'm sorry, so sorry
I'm sorry, yeah

I need your love
And I'm dying for the rush
'Cause my heart ain't got enough
I need your touch
This is getting serious
Tell me that it's not the end of us
How can we go back to the beginning?
How can we go back to the beginning?
Without you, I've got no air to breathe in
How can we go back to the beginning?
Don't matter what's written
We can start all over again, all over again
Oh, how can I get you all over my skin?
My deep intuition tells me that I'm doing you wrong
If I don't come home
Just say you forgive me and don't let me go

I've been sick and tired of running
Chasing all of the flashing lights
These late nights don't mean nothing
So I just wanna apologize
I'm sorry, so sorry
I'm sorry, yeah

I need your love
And I'm dying for the rush
'Cause my heart ain't got enough
I need your touch
This is getting serious
Tell me that it's not the end of us
How can we go back to the beginning?
How can we go back to the beginning?
Without you, I've got no air to breathe in
How can we go back to the beginning?
You know
I'll roar like a lion for you
You know I'll keep trying
'Til the sun starts rising

I need your love
And I'm dying for the rush
'Cause my heart ain't got enough
I need your touch
This is getting serious
Tell me that it's not the end of us
How can we go back to the beginning?
How can we go back to the beginning?
Without you, I've got no air to breathe in
How can we go back to the beginning?22Embed",
Coldplay,Greatest Songs,Hymn For The Weekend,Rock / (131),https://musicriders.blogspot.com (or) Mega Zone Riders,/songs/01 - Hymn For The Weekend.mp3,/image/cover-3.jpg,"Hymn for the Weekend Lyrics
And said drink from me, drink from me
(Oh-ah-oh-ah)
That we shoot across the sky
Symphony
That we shoot across the sky
Pour on a...
Drink from me, drink from me
(Oh-ah-oh-ah)
That we shoot across the sky
Symphony
(So high, so high)
That we shoot across the sky

Oh, angel sent from up above
You know you make my world light up
When I was down, when I was hurt
You came to lift me up
Life is a drink and love's a drug
Oh now I think I must be miles up
When I was a river dried up
You came to rain a flood
You said drink from me, drink from me
When I was so thirsty
Poured on a symphony
Now I just can't get enough
Put your wings on me, wings on me
When I was so heavy
Poured on a symphony
When I'm low, low, low, low

I, oh-I, oh-I
Got me feeling drunk and high, so high, so high
Oh-I, oh-I, oh-I
Now I’m feeling drunk and high, so high, so high
(Woo)
(Woo-ooo-ooo-woo)

Oh, angel sent from up above
I feel you coursing through my blood
Life is a drink and your love's about
To make the stars come out
Put your wings on me, wings on me
When I was so heavy
Poured on a symphony
When I'm low, low, low, low
I, oh-I, oh-I
Got me feeling drunk and high, so high, so high
Oh-I, oh-I, oh-I
I’m feeling drunk and high, so high, so high

I, oh-I, oh-I
La, la, la, la, la, la, la, so high, so high
I, oh-I, oh-I
Now I'm feeling drunk and high, so high, so high

That I shoot across the sky
That I shoot across the...
That I shoot across the sky
Let me shoot across the... (Let me shoot)
Let me shoot across the sky
Let me shoot across the...
Let me shoot across the sky
That we shoot across the...66Embed",
One Direction,Take Me Home,Live While We're Young,Pop,,/songs/01 - Live While We're Young.mp3,/image/cover-4.jpg,"Hey, girl, I'm waiting on you, I'm waiting on you
Come on, and let me sneak you out
And have a celebration, a celebration
The music up, the window's down
Yeah, we'll be doing what we do
Just pretending that we're cool and we know it too
Yeah, we'll keep doing what we do
Just pretending that we're cool, so tonight
Let's go crazy, crazy, crazy 'til we see the sun
I know we only met, but let's pretend it's love
And never, never, never stop for anyone
Tonight, let's get some
And live while we're young
(Oh-oh-oh-oh-oh-oh-oh)
(Oh-oh-oh-oh-oh-oh-oh)
And live while we're young (Oh-oh-oh-oh-oh-oh-oh)
Tonight, let's get some
And live while we're young
Hey, girl, it's now or never, it's now or never
Don't overthink, just let it go
And if we get together, yeah, get together
Don't let the pictures leave your phone, ooh
Yeah, we'll be doing what we do
Just pretending that we're cool, so tonight
Let's go crazy, crazy, crazy 'til we see the sun
I know we only met, but let's pretend it's love
And never, never, never stop for anyone
Tonight, let's get some
And live while we're young
(Oh-oh-oh-oh-oh-oh-oh)
(Oh-oh-oh-oh-oh-oh-oh)
Wanna live while we're young (Oh-oh-oh-oh-oh-oh-oh)
Tonight, let's get some
And live while we're young
And, girl, you and I
We're 'bout to make some memories tonight
I wanna live while we're young
We want to live while we're young
Let's go crazy, crazy, crazy 'til we see the sun
I know we only met, but let's pretend it's love
And never, never, never stop for anyone
Tonight, let's get some
And live while we're young
Crazy, crazy, crazy 'til we see the sun
I know we only met, but let's pretend it's love
And never, never, never stop for anyone
Tonight, let's get some
And live while we're young
Come on, young (Wanna live, wanna live, wanna live)
Wanna live while we're young
(Wanna live, wanna live, wanna live while we're young)
Tonight, let's get some
And live while we're young",
The Beatles,Abbey Road (Remastered),Come Together,(17)Rock,,/songs/01 come together.mp3,,"Here come old flat top
He come grooving up slowly
He got joo joo eyeball
He one holy roller
He got hair down to his knee
Got to be a joker he just do what he please
He wear no shoe shine
He got toe jam football
He got monkey finger
He shoot Coca-Cola
He say I know you, you know me
One thing I can tell you is you got to be free
Come together, right now, over me
He bag production
He got walrus gumboot
He got Ono sideboard
He one spinal cracker
He got feet down below his knee
Hold you in his armchair you can feel his disease
Come together, right now, over me
He roller coaster
He got early warning
He got muddy water
He one mojo filter
He say, ""one and one and one is three""
Got to be good looking 'cause he's so hard to see
Come together, right now, over me
Oh
Come together, yeah
Come together, yeah
Come together, yeah
Come together, yeah
Come together, yeah
Come together, yeah
Come together, yeah
Oh
Come together, yeah
Come together, yeah",
Snow Patrol,Greatest Hits,The Lightning Strike (What If This Storm Ends?),Alternative,,/songs/01 Snow Patrol - The Lightning Strike (What If This Storm Ends-).mp3,/image/cover-7.jpg,"The Lightning Strike (What If This Storm Ends?) - Commentary Version Lyrics(I) What If This Storm Ends?
What if this storm ends?
And I don't see you
As you are now
Ever again
The perfect halo
Of gold hair and lightning
Sets you off against
The planet's last dance
Just for a minute
The silver forked sky
Lit you up like a star
That I will follow
Now it's found us
Like I have found you
I don't want to run
Just overwhelm me
What if this storm ends?
And leaves us nothing
Except a memory
A distant echo
I want pinned down
I want unsettled
Rattle cage after cage
Until my blood boils
I want to see you
As you are now
Every single day
That I am living
Painted in flames
All peeling thunder
Be the lightning in me
That strikes relentless
(II) The Sunlight Through The Flags
From here the caravans are kids toys
And I can hold them all in my palm
I watch the sea creep round the corner
It connects the dots from here to you
The sunlight burning through the loose flags
Painted high on white church walls
I chase my blood from brain to thumped heart
Until I'm out of breath for trying
Worry not everything is sound
This is the safest place you've found
The only noise beating out is ours
Lacing our tea from honey jars
These accidents of faith and nature
They tend to stick in the spokes of you
But every now and then the trend bucks
And you're repaired by more than glue
Worry not everything is sound
This is the safest place you've found
The only noise beating out is ours
Lacing our tea from honey jars
Why don't you rest your fragile bones
A minute ago you looked alone
Stop waving your arms you're safe and dry
Breathe in and drink up the winter sky
(III) Daybreak
Slowly the day breaks apart in our hands
And soft hallelujahs flow in from the church
The one on the corner you said frightened you
It was too dark and too large to find your soul in
Something was bound to go right sometime today
All these broken pieces fit together to make a perfect picture of us
It got cold and then dark so suddenly and rained
It rained so hard the two of us were the only thing
That we could see for miles and miles
And in the middle of the flood I felt my worth
When you held onto me like I was your little life raft
Please know that you were mine as well
Drops of water hit the ground like God's own tears
And spread out into shapes like
Salad bowls and basins and buckets for bailing out the flood
As motionless cars rust on driveways and curbs
You take off your raincoat and stretch out your arms
We both laugh out loud and surrender to it
The sheer force of sky and the cold magnet Earth
Something was bound to go right sometime today
All these broken pieces fit together to make a perfect picture of us
It got cold and then dark so suddenly and rained
It rained so hard the two of us were the only thing
That we could see for miles and miles
And in the middle of the flood I felt my worth
When you held onto me like I was your little life raft
Please know that you were mine as well
Drops of water hit the ground like God's own tears
And spread out into shapes like
Salad bowls and basins and buckets for bailing out the floodEmbed",
Harry Styles,Fine Line,Golden,Pop,www.t.me/pmedia_music,/songs/01. Golden.mp3,/image/cover-8.jpg,"Golden Lyrics
Hey!

Golden, golden, golden as I open my eyes
Hold it, focus, hoping, take me back to the light
I know you were way too bright for me
I'm hopeless, broken, so you wait for me in the sky
Brown my skin just right
You're so golden

You're so golden
I'm out of my head, and I know that you're scared
Because hearts get broken
I don't wanna be alone
I don't wanna be alone when it ends
Don't wanna let you know
I don't wanna be alone
But I can feel it take a hold (I can feel it take a hold)
I can feel you take control (I can feel you take control)
Of who I am, and all I've ever known
Lovin' you's the antidote
Golden

You're so golden
I don't wanna be alone
You're so golden
You're so golden
I'm out of my head, and I know that you're scared
Because hearts get broken

(Golden, golden, golden, golden)
(Golden, golden, golden, golden)
(Golden, golden, golden, golden)
(Golden, golden, golden, golden)
(Golden, golden, golden, golden)
(Golden, golden, golden, golden)
(Golden, golden, golden, golden)
I know that you're scared because I'm so open
You're so golden
I don't wanna be alone
You're so golden
You're so golden
You're so golden
I'm out of my head, and I know that you're scared
Because hearts get broken102Embed",
Imagine Dragons,Origins (Deluxe),Natural,Alternative,Freak37,/songs/01. Natural.mp3,/image/cover-9.jpg,"Natural Lyrics
Will you hold the line
When every one of them has given up and given in? Tell me
In this house of mine
Nothing ever comes without a consequence or cost, tell me
Will the stars align?
Will Heaven step in? Will it save us from our sin? Will it?
'Cause this house of mine stands strong

That's the price you pay
Leave behind your heart and cast away
Just another product of today
Rather be the hunter than the prey
And you're standing on the edge, face up 'cause you're a
Natural
A beating heart of stone
You gotta be so cold
To make it in this world
Yeah, you're a natural
Living your life cutthroat
You gotta be so cold
Yeah, you're a natural

Will somebody
Let me see the light within the dark trees shadowing?
What's happenin'?
Lookin' through the glass, find the wrong within the past knowin'
Oh, we are the youth
Cut until it bleeds inside a world without the peace, facing
A bit of the truth, the truth

That's the price you pay
Leave behind your heart and cast away
Just another product of today
Rather be the hunter than the prey
And you're standing on the edge, face up 'cause you're a
Natural
A beating heart of stone
You gotta be so cold
To make it in this world
Yeah, you're a natural
Living your life cutthroat
You gotta be so cold
Yeah, you're a natural

Deep inside me, I'm fading to black, I'm fading
Took an oath by the blood of my hand, won't break it
I can taste it, the end is upon us, I swear
I'm gonna make it
I'm gonna make it

Natural
A beating heart of stone
You gotta be so cold
To make it in this world
Yeah, you're a natural
Living your life cutthroat
You gotta be so cold
Yeah, you're a natural
Natural
Yeah, you're a natural112Embed",
Oasis,Oasis - Greatest Hits CD1,Rock 'N' Roll Star,,,/songs/01. Rock 'N' Roll Star.mp3,,"Rock ‘n’ Roll Star Lyrics
I live my life in the city
And there's no easy way out
The day's moving just too fast for me
I need some time in the sunshine
I've gotta slow it right down
The day's moving just too fast for me

I live my life for the stars that shine
People say, ""It's just a waste of time""
Then they said, ""I should feed my head""
That to me was just a day in bed
I'll take my car and drive real far
They're not concerned about the way we are
In my mind my dreams are real
Now you concerned about the way I feel
Tonight I'm a rock 'n' roll star
Tonight I'm a rock 'n' roll star
I live my life in the city
And there's no easy way out
The day's moving just too fast for me
I need some time in the sunshine
I've gotta slow it right down
The day's moving just too fast for me

I live my life for the stars that shine
People say, ""It's just a waste of time""
Then they said, ""I should feed my head""
Oh, that to me was just a day in bed
I'll take my car and drive real far
You're not concerned about the way we are
In my mind my dreams are real
Now you concerned about the way I feel
Tonight I'm a rock 'n' roll star
Tonight I'm a rock 'n' roll star
Tonight I'm a rock 'n' roll star

You're not down with who I am
Look at you now, you're all in my hands tonight

Tonight I'm a rock 'n' roll star
Tonight I'm a rock 'n' roll star
Tonight I'm a rock 'n' roll star
It's just rock 'n' roll
It's just rock 'n' roll
It's just rock 'n' roll
It's just rock 'n' roll
It's just rock 'n' roll
It's just rock 'n' roll
It's just rock 'n' roll
It's just rock 'n' roll7Embed",
